name;deimsid;nid;field_coor;field_coo0;field_elev
Baixo Sabor LTER;https://deims.org/45722713-80e3-4387-a47b-82c97a6ef62b;7893;41.3333;-6.95;500
Fray Jorge Experimental Site;https://deims.org/7fdabe1f-208a-449a-bc29-1e6ab2a1795b;7898;-30.38;-71.4;230
Senda Darwin Biological Station;https://deims.org/133ec196-71c4-4f33-a230-56723bee35fb;7903;-41.8834;-73.6667;75
Shenyang Experimental Station of Ecology;https://deims.org/5251a2c7-d44e-4ec1-892e-bf77b8bc3450;7905;41.5167;123.4;41
Fengqiu Experimental Station for Agro-ecology Chinese Academy of Sciences;https://deims.org/5425446c-bfcb-448d-9f75-b06718df59ed;7906;35.0167;114.533;67.5
Luancheng Agricultural Ecological Station;https://deims.org/5de9ae4c-c705-4cd5-b55a-2195c936f7fb;7907;37.8833;114.683;50.1
Taoyuan Agricultural Ecological Station;https://deims.org/9518c7f8-d3f2-4e57-b6a7-67bb4a20f1e5;7908;28.9167;111.4333;
Hailun Agricultural Ecological Station;https://deims.org/495881b0-52bc-410c-99b7-45575e08f80c;7909;47.45;126.917;236
Yucheng Comprehensive Experiment Station;https://deims.org/5b374ace-5bc3-4e07-8dbc-ff0914302ae6;7910;36.829;116.57;23
Changshu Agro-Ecological Experimental Station;https://deims.org/90e55d56-fb0a-44c3-aeb6-c750d0eeefc4;7911;31.5497;120.6984;3
Yingtan Ecological Experimental Station of Red Soil;https://deims.org/1abc788a-2406-49b7-8e02-9f788719f03f;7912;28.2058;116.9283;45
Qianyanzhou Agricultural Experimental Station of Red Soil and Hilly Land;https://deims.org/54077767-c77e-42e4-8fde-4cc112af92a4;7913;26.7333;115.067;100
Yanting Agricultural Ecological Station on Purple Soil;https://deims.org/0c20aa08-f120-4c37-bf26-cef5fcb34980;7914;31.16;105.27;420
Ansai Integrated Experimental Station on Water and Soil Conservation;https://deims.org/970314a3-1e0e-4b35-9b35-a7fb3155b045;7915;36.85;109.317;
Changwu Agro-Ecological Experimental Station in Loess Plateau;https://deims.org/b72a0976-15c0-4c8e-9254-b3bcbb42f95f;7916;35.2;107.667;
Linze Inland River Basin Research Station;https://deims.org/b14f4ada-d4d5-4241-ae85-400b46b73da9;7917;39.3333;100.117;
Lhasa Qing-Zang (Tibet) Plateau Ecosystem Research Station;https://deims.org/26585ac0-674d-4c52-967f-45a8c5fea8dd;7918;29.6;91.34;3688
Akesu Water Balance Research Station;https://deims.org/2a58842f-e078-4450-a5dd-7b6f89ec83c1;7919;40.6167;80.85;2940
Huanjiang Observation and Research Station for Karst Ecosystems;https://deims.org/013f0ab4-a999-40ff-960d-2a8f89428969;7920;24.7417;108.3258;459.6
Changbai Mountain Forest Ecosystem Research Station;https://deims.org/874f5aa9-f53a-4594-8eff-1f9a293cb8fb;7921;42.4;128.1;
Beijing Forest Ecological Station;https://deims.org/9516fa76-79cc-4620-bc27-e721cdaf0db3;7922;39.9667;115.4333;1200
Huitong Research Station of Forest Ecosystem;https://deims.org/3ebcafd9-1489-408c-a6a2-dd21f71e6c87;7923;26.849115;109.606309;
Dinghu Mountain Research of Forest Ecosystem;https://deims.org/9b883551-d6a5-42be-9c46-d785a1e38911;7924;23.1723;112.5309;300
Heshan Mountain Integrated Experimental Station of Hilly Land;https://deims.org/97137c3b-256d-4a9c-aeca-ed144bddc8ce;7925;22.6833;112.9;
Maoxian Mountain Ecosystem Research Station;https://deims.org/1cc2296d-afd0-4de8-90af-ef79927c0e9f;7926;31.6833;103.883;1900
Gongga Mountain Observation and Experimental Station of Alpine Ecosystem;https://deims.org/90be04ce-6799-4f40-8749-17c2af123280;7927;29.5667;101.983;3000
